competition_track,canonical_position_code,athlete_name,position_family,nationality,hub_elite_score,seed_rank_anchor,shortlist_stage,source_audit_status,inclusion_type,priority_block,owner,target_shortlist_size,current_shortlist_size,next_expansion_target,notes
feminino,centroavante,Sam Kerr,atacante,Australia,94,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,centroavante,Ada Hegerberg,atacante,Norway,93,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,centroavante,Alex Morgan,atacante,United States,90,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,centroavante,Barbra Banda,atacante,Zambia,84,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,centroavante,Alessia Russo,atacante,England,83,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,goleiro,Hope Solo,goleiro,United States,92,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,goleiro,Mary Earps,goleiro,England,92,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,goleiro,Christiane Endler,goleiro,Chile,90,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,goleiro,Alyssa Naeher,goleiro,United States,89,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,goleiro,Ann-Katrin Berger,goleiro,Germany,86,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_ofensivo,Alexia Putellas,meia,Spain,96,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_ofensivo,Dzsenifer Marozsan,meia,Germany,91,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_ofensivo,Pernille Harder,meia,Denmark,90,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_ofensivo,Jill Roord,meia,Netherlands,85,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,meia_ofensivo,Claudia Pina,meia,Spain,82,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
feminino,volante,Keira Walsh,volante,England,89,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,volante,Patri Guijarro,volante,Spain,88,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,volante,Saki Kumagai,volante,Japan,88,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,volante,Lena Oberdorf,volante,Germany,86,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,volante,Yui Hasegawa,volante,Japan,85,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,zagueiro,Wendie Renard,zagueiro,France,95,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,zagueiro,Irene Paredes,zagueiro,Spain,89,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,zagueiro,Millie Bright,zagueiro,England,88,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,zagueiro,Leah Williamson,zagueiro,England,87,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,zagueiro,Mapi Leon,zagueiro,Spain,87,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,centroavante,Robert Lewandowski,atacante,Poland,96,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,centroavante,Ronaldo Nazario,atacante,Brazil,96,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,centroavante,Karim Benzema,atacante,France,94,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,centroavante,Thierry Henry,atacante,France,94,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,centroavante,Erling Haaland,atacante,Norway,91,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,goleiro,Manuel Neuer,goleiro,Germany,95,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,goleiro,Gianluigi Buffon,goleiro,Italy,94,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,goleiro,Iker Casillas,goleiro,Spain,93,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,goleiro,Oliver Kahn,goleiro,Germany,92,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,goleiro,Alisson Becker,goleiro,Brazil,89,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_ofensivo,Zinedine Zidane,meia,France,97,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_ofensivo,Ronaldinho,meia,Brazil,95,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_ofensivo,Kaka,meia,Brazil,91,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_ofensivo,David Silva,meia,Spain,90,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,meia_ofensivo,Mesut Ozil,meia,Germany,89,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Lara Nascimento,25,25,25,anchor inicial da shortlist auditada top 25
masculino,volante,Sergio Busquets,volante,Spain,94,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,volante,Casemiro,volante,Brazil,91,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,volante,Claude Makelele,volante,France,91,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,volante,Patrick Vieira,volante,France,91,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,volante,Gilberto Silva,volante,Brazil,88,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,zagueiro,Sergio Ramos,zagueiro,Spain,95,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,zagueiro,Fabio Cannavaro,zagueiro,Italy,94,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,zagueiro,Alessandro Nesta,zagueiro,Italy,92,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,zagueiro,Thiago Silva,zagueiro,Brazil,91,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
masculino,zagueiro,Virgil van Dijk,zagueiro,Netherlands,91,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_1_core_positions,Diego Torres,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_direito,Lucy Bronze,lateral,England,94,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_direito,Ona Batlle,lateral,Spain,88,2,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_direito,Ellie Carpenter,lateral,Australia,84,3,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_direito,Giulia Gwinn,lateral,Germany,84,4,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_direito,Emily Fox,lateral,United States,83,5,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
feminino,lateral_esquerdo,Fridolina Rolfo,lateral,Sweden,87,1,anchor_seed_loaded,in_review_seed_audit,seed_anchor,phase_2_support_positions,Helena Martins,25,25,25,anchor inicial da shortlist auditada top 25
